clip_id,meeting_date,title,status,error,output_dir,updated_at
217,2024-03-13,Board of Supervisors,downloading,,,2026-03-18T08:46:54.743297
218,2024-03-20,Planning Commission,downloading,,,2026-03-18T09:11:55.832794
219,2024-03-27,Board of Supervisors,downloading,,,2026-03-18T10:03:54.533014
220,2024-04-10,Board of Supervisors,downloading,,,2026-03-18T10:09:46.343619
221,2024-04-17,Planning Commission,downloading,,,2026-03-18T10:35:24.786655
222,2024-04-24,Board of Supervisors,downloading,,,2026-03-18T11:42:53.530379
223,2024-05-08,Board of Supervisors,downloading,,,2026-03-18T12:07:07.052055
224,2024-05-15,Planning Commission,downloading,,,2026-03-18T12:12:37.356440
225,2024-05-22,Board of Supervisors,downloading,,,2026-03-18T12:59:10.572694
226,2024-05-22,Board of Supervisors,downloading,,,2026-03-18T13:05:22.582960
227,2024-06-05,Planning Commission,downloading,,,2026-03-18T13:18:40.966308
228,2024-06-12,Board of Supervisors,downloading,,,2026-03-18T13:31:49.359170
229,2024-07-03,Planning Commission,downloading,,,2026-03-18T14:11:18.893487
230,2024-07-10,Board of Supervisors,downloading,,,2026-03-18T14:34:53.898248
232,2024-08-14,Board of Supervisors - Planning Commission Joint Work Session,downloading,,,2026-03-18T14:54:38.565171
233,2024-08-14,Board of Supervisors,downloading,,,2026-03-18T15:43:08.153912
235,2024-09-04,Planning Commission,downloading,,,2026-03-18T15:56:02.185904
236,2024-09-11,Board of Supervisors-Public Works & Landfill Oversight Committees Joint Meeting,downloading,,,2026-03-18T16:21:37.671278
237,2024-09-11,Board of Supervisors,downloading,,,2026-03-18T17:26:41.359545
238,2024-09-18,Board of Supervisors,downloading,,,2026-03-18T17:51:14.041896
239,2024-09-18,Planning Commission,downloading,,,2026-03-18T18:14:59.687842
240,2024-09-25,Board of Supervisors,downloading,,,2026-03-18T18:32:07.723515
241,2024-09-25,Board of Supervisors,downloading,,,2026-03-18T19:11:04.324079
242,2024-09-25,Board of Supervisors - Frederick Water Board Joint Meeting,downloading,,,2026-03-18T19:30:33.711795
243,2024-10-02,Planning Commission,downloading,,,2026-03-18T19:33:56.366759
244,2024-10-09,Board of Supervisors,downloading,,,2026-03-18T19:37:47.524081
245,2024-10-23,Board of Supervisors - Economic Development Authority Joint Meeting,downloading,,,2026-03-18T20:37:26.798249
246,2024-10-23,Board of Supervisors,downloading,,,2026-03-18T21:19:52.781878
247,2024-10-30,Board of Supervisors,downloading,,,2026-03-18T21:21:13.131873
248,2024-11-06,Board of Supervisors,downloading,,,2026-03-18T21:27:27.318272
249,2024-11-06,Planning Commission,downloading,,,2026-03-18T22:34:50.664716
250,2024-11-13,Board of Supervisors,downloading,,,2026-03-18T22:35:02.434981
251,2024-11-13,Board of Supervisors,downloading,,,2026-03-18T23:04:08.920751
252,2024-11-20,Planning Commission,downloading,,,2026-03-18T23:21:49.140037
253,2024-12-04,Planning Commission,downloading,,,2026-03-18T23:57:13.383500
254,2024-12-04,Planning Commission,downloading,,,2026-03-19T00:28:19.776970
255,2024-12-11,Board of Supervisors,downloading,,,2026-03-19T00:39:09.508619
256,2024-12-11,Board of Supervisors,pending,,,2026-03-19T03:09:18.377491
258,2024-12-18,Planning Commission,pending,,,2026-03-19T02:44:23.055842
259,2025-01-08,Board of Supervisors,pending,,,2026-03-19T02:39:39.651622
260,2025-01-08,Board of Supervisors,pending,,,2026-03-19T03:30:12.970989
261,2025-01-15,Planning Commission,pending,,,2026-03-19T04:50:49.269894
262,2025-01-22,Board of Supervisors,downloading,,,2026-03-19T03:09:18.493125
263,2025-01-22,Board of Supervisors,downloading,,,2026-03-19T03:30:12.997586
264,2025-01-24,Board of Supervisors,downloading,,,2026-03-19T03:48:45.334338
265,2025-02-05,Board of Supervisors,downloading,,,2026-03-19T04:50:49.299620
266,2025-02-13,Board of Supervisors,downloading,,,2026-03-19T04:50:49.347316
267,2025-02-13,Board of Supervisors,downloading,,,2026-03-19T05:44:39.630492
268,2025-02-19,Board of Supervisors,downloading,,,2026-03-19T05:45:25.626261
269,2025-02-19,Planning Commission,downloading,,,2026-03-19T06:28:25.579745
270,2025-02-26,Board of Supervisors,downloading,,,2026-03-19T06:51:57.986174
271,2025-02-26,Board of Supervisors,downloading,,,2026-03-19T07:31:58.760534
272,2025-03-12,Board of Supervisors,downloading,,,2026-03-19T07:46:43.192758
273,2025-03-12,Board of Supervisors,pending,,,2026-03-19T09:01:27.952782
274,2025-03-19,Board of Supervisors,downloading,,,2026-03-19T08:31:38.190994
275,2025-03-19,Planning Commission,downloading,,,2026-03-19T08:42:01.486223
276,2025-03-26,Board of Supervisors,downloading,,,2026-03-19T09:01:27.982443
277,2025-04-02,Board of Supervisors,downloading,,,2026-03-19T09:40:33.329590
278,2025-04-02,Planning Commission,downloading,,,2026-03-19T10:02:37.511384
279,2025-04-09,Board of Supervisors,downloading,,,2026-03-19T10:53:12.864127
280,2025-04-16,Planning Commission,downloading,,,2026-03-19T11:10:58.834916
281,2025-04-23,Board of Supervisors,downloading,,,2026-03-19T11:20:01.262281
282,2025-05-14,Board of Supervisors,downloading,,,2026-03-19T12:24:27.199482
283,2025-05-21,Planning Commission,downloading,,,2026-03-19T12:30:07.308868
284,2025-06-04,Planning Commission,downloading,,,2026-03-19T13:53:06.071202
285,2025-06-11,Board of Supervisors,downloading,,,2026-03-19T14:00:16.376240
286,2025-06-18,Board of Supervisors,downloading,,,2026-03-19T14:29:19.979501
287,2025-06-18,Board of Supervisors,downloading,,,2026-03-19T14:34:31.423878
